Date,Predicted_Sales
2015-08-01,5042.9844
2015-08-02,5092.197
2015-08-03,5049.1494
2015-08-04,4955.2847
2015-08-05,4921.6343
2015-08-06,4831.3516
2015-08-07,4739.478
2015-08-08,4722.572
2015-08-09,4756.541
2015-08-10,4938.3755
2015-08-11,5103.1577
2015-08-12,5243.3745
2015-08-13,5592.996
2015-08-14,5805.3003
2015-08-15,6003.9927
2015-08-16,6059.061
2015-08-17,5876.8594
2015-08-18,5837.9414
2015-08-19,5890.3413
2015-08-20,5970.8457
2015-08-21,5863.0093
2015-08-22,5837.68
2015-08-23,5870.0337
2015-08-24,5864.586
2015-08-25,5860.5186
2015-08-26,6043.273
2015-08-27,6936.3774
2015-08-28,8125.2373
2015-08-29,9054.232
2015-08-30,10143.754
